,,,,,,,,,,,,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Point Shares,Point Shares,Point Shares,Point Shares
4,Brent Burns\burnsbr01,31,SJS,D,273,16.35,1,3,25,29,30,29,47,76,19,,,,,,8.9,6.4,0.0,15.3
5,Erik Karlsson\karlser01,26,OTT,D,258,15.45,0,5,28,23,14,17,54,71,10,,,,,,7.2,5.7,0.0,12.9
6,Patrick Kane\kanepa01,28,CHI,RW,206,12.34,0,3,20,20,25,34,55,89,11,,,,,,8.7,2.1,0.0,10.8
7,Brad Marchand\marchbr03,28,BOS,LW,184,11.02,1,1,14,22,31,39,46,85,18,,,,,,9.8,2.8,0.0,12.6
8,Nikita Kucherov\kucheni01,23,TBL,RW,119,7.13,0,0,11,15,19,40,45,85,13,,,,,,9.7,2.2,0.0,12.0
9,Nicklas Backstrom\backsni02,29,WSH,C,60,3.59,0,0,3,11,12,23,63,86,17,,,,,,7.8,2.1,0.0,9.9
10,Braden Holtby\holtbbr01,27,WSH,G,19,1.14,0,0,2,3,0,0,0,0,0,42,13,6,2.07,.925,0.0,0.0,12.3,12.3
11,Auston Matthews\matthau01,19,TOR,C,17,1.02,0,0,2,1,4,40,29,69,2,,,,,,8.2,1.5,0.0,9.7
12,Alex Ovechkin\ovechal01,31,WSH,LW,7,0.42,0,1,0,0,0,33,36,69,6,,,,,,7.0,1.7,0.0,8.7
12,Ryan Suter\suterry01,32,MIN,D,7,0.42,0,1,0,0,0,9,31,40,34,,,,,,2.7,6.6,0.0,9.3
14,Victor Hedman\hedmavi01,26,TBL,D,5,0.30,0,0,0,1,2,16,56,72,3,,,,,,7.3,4.7,0.0,12.0
15,Devan Dubnyk\dubnyde01,30,MIN,G,4,0.24,0,0,0,1,1,0,0,0,0,40,19,5,2.25,.923,0.0,0.0,13.1,13.1
15,Vladimir Tarasenko\tarasvl01,25,STL,RW,4,0.24,0,0,0,1,1,39,36,75,-1,,,,,,8.4,1.7,0.0,10.2
17,Cam Atkinson\atkinca01,27,CBJ,RW,1,0.06,0,0,0,0,1,35,27,62,13,,,,,,6.8,2.0,0.0,8.9
17,Cam Talbot\talboca01,29,EDM,G,1,0.06,0,0,0,0,1,0,0,0,0,42,22,8,2.39,.919,0.0,0.0,14.0,14.0
1,Patrick Kane\kanepa01,27,CHI,RW,1395,93.00,121,22,5,2,0,46,60,106,17,,,,,,12.4,2.6,0.0,15.0
2,Sidney Crosby\crosbsi01,28,PIT,C,800,53.33,11,64,31,24,15,36,49,85,19,,,,,,9.1,2.4,0.0,11.5
3,Jamie Benn\bennja01,26,DAL,LW,637,42.47,8,34,40,34,17,41,48,89,7,,,,,,10.3,1.7,0.0,12.1
4,Braden Holtby\holtbbr01,26,WSH,G,292,19.47,5,13,19,13,17,0,1,1,0,48,9,7,2.20,.922,0.0,0.0,12.1,12.1
5,Joe Thornton\thornjo01,36,SJS,C,267,17.80,0,8,19,31,23,19,63,82,25,,,,,,7.1,2.9,0.0,10.0
6,Alex Ovechkin\ovechal01,30,WSH,LW,212,14.13,2,6,18,13,21,50,21,71,21,,,,,,9.1,2.6,0.0,11.7
7,Jaromir Jagr\jagrja01,43,FLA,RW,60,4.00,1,1,5,4,6,27,39,66,23,,,,,,6.9,2.3,0.0,9.2
8,Anze Kopitar\kopitan01,28,LAK,C,53,3.53,1,0,2,8,9,25,49,74,34,,,,,,6.5,3.3,0.0,9.7
9,Erik Karlsson\karlser01,25,OTT,D,44,2.93,0,1,4,2,11,16,66,82,-2,,,,,,8.4,3.2,0.0,11.7
10,Ben Bishop\bishobe01,29,TBL,G,42,2.80,1,1,1,4,8,0,1,1,0,35,21,4,2.06,.926,0.0,0.0,12.2,12.2
11,Drew Doughty\doughdr01,26,LAK,D,29,1.93,0,0,2,5,4,14,37,51,24,,,,,,4.5,7.1,0.0,11.6
12,Vladimir Tarasenko\tarasvl01,24,STL,RW,13,0.87,0,0,1,1,5,40,34,74,7,,,,,,8.7,2.1,0.0,10.8
13,John Tavares\tavarjo01,25,NYI,C,10,0.67,0,0,0,2,4,33,37,70,6,,,,,,7.4,1.9,0.0,9.3
14,Joe Pavelski\paveljo01,31,SJS,C,8,0.53,0,0,0,2,2,38,40,78,25,,,,,,8.4,3.0,0.0,11.5
15,Roberto Luongo\luongro01,36,FLA,G,8,0.53,0,0,0,1,5,0,2,2,0,35,19,6,2.35,.922,0.0,0.0,12.1,12.1
16,Claude Giroux\giroucl01,28,PHI,C,6,0.40,0,0,1,0,1,22,45,67,-8,,,,,,5.4,1.5,0.0,6.9
17,Henrik Lundqvist\lundqhe01,33,NYR,G,5,0.33,0,0,1,0,0,0,4,4,0,35,21,7,2.48,.920,0.0,0.0,12.6,12.6
17,Cory Schneider\schneco01,29,NJD,G,5,0.33,0,0,1,0,0,0,0,0,0,27,25,6,2.15,.924,0.0,0.0,11.1,11.1
19,Evgeny Kuznetsov\kuzneev01,23,WSH,C,4,0.27,0,0,0,1,1,20,57,77,27,,,,,,6.9,2.6,0.0,9.6
20,Brent Burns\burnsbr01,30,SJS,D,3,0.20,0,0,0,1,0,27,48,75,-5,,,,,,8.8,4.1,0.0,12.9
20,Ryan Getzlaf\getzlry01,30,ANA,C,3,0.20,0,0,0,1,0,13,50,63,14,,,,,,4.4,2.6,0.0,7.0
20,Ryan Kesler\keslery01,31,ANA,C,3,0.20,0,0,0,1,0,21,32,53,5,,,,,,4.1,2.3,0.0,6.4
23,Kris Letang\letankr01,28,PIT,D,1,0.07,0,0,0,0,1,16,51,67,9,,,,,,7.0,4.3,0.0,11.3
1,Carey Price\priceca01,27,MTL,G,1498,95.41,139,14,2,0,0,0,1,1,0,44,16,6,1.96,.933,0.0,0.0,16.2,16.2
2,Alex Ovechkin\ovechal01,29,WSH,LW,888,56.56,8,75,45,18,4,53,28,81,10,,,,,,10.4,2.2,0.0,12.6
3,John Tavares\tavarjo01,24,NYI,C,739,47.07,4,41,63,27,16,38,48,86,5,,,,,,9.5,1.8,0.0,11.2
4,Devan Dubnyk\dubnyde01,28,TOT,G,410,26.11,6,16,25,30,23,0,2,2,0,36,14,4,2.07,.929,0.0,0.0,12.6,12.6
5,Sidney Crosby\crosbsi01,27,PIT,C,138,8.79,0,2,3,25,34,28,56,84,5,,,,,,8.2,2.0,0.0,10.3
6,Ryan Getzlaf\getzlry01,29,ANA,C,124,7.90,0,2,6,20,20,25,45,70,15,,,,,,6.5,2.1,0.0,8.6
7,Rick Nash\nashri01,30,NYR,LW,70,4.46,0,1,4,9,16,42,27,69,29,,,,,,8.9,2.5,0.0,11.4
8,Pekka Rinne\rinnepe01,32,NSH,G,49,3.12,0,2,4,4,3,0,1,1,0,41,17,6,2.18,.923,0.0,0.0,12.6,12.6
9,Erik Karlsson\karlser01,24,OTT,D,32,2.04,0,1,1,5,5,21,45,66,7,,,,,,7.2,4.7,0.0,11.9
10,Jonathan Toews\toewsjo01,26,CHI,C,31,1.97,0,1,3,2,3,28,38,66,30,,,,,,6.2,3.2,0.0,9.4
11,Steven Stamkos\stamkst01,24,TBL,C,29,1.85,0,1,0,5,7,43,29,72,2,,,,,,8.6,1.5,0.0,10.1
12,Jamie Benn\bennja01,25,DAL,LW,23,1.46,0,0,0,5,8,35,52,87,1,,,,,,9.3,1.5,0.0,10.7
13,Jiri Hudler\hudleji01,31,CGY,C,16,1.02,0,1,0,3,0,31,45,76,17,,,,,,7.9,2.2,0.0,10.2
14,Vladimir Tarasenko\tarasvl01,23,STL,RW,14,0.89,0,0,0,3,5,37,36,73,27,,,,,,8.5,2.6,0.0,11.2
15,Andrew Hammond\hammoan01,26,OTT,G,9,0.57,0,0,0,1,6,0,1,1,0,20,1,2,1.79,.941,0.0,0.0,6.5,6.5
16,P.K. Subban\subbapk01,25,MTL,D,5,0.32,0,0,1,0,0,15,45,60,21,,,,,,5.8,6.6,0.0,12.4
17,Drew Doughty\doughdr01,25,LAK,D,2,0.13,0,0,0,0,2,7,39,46,3,,,,,,3.0,5.6,0.0,8.6
18,Dustin Byfuglien\byfugdu01,29,WPG,D,1,0.06,0,0,0,0,1,18,27,45,5,,,,,,5.3,3.5,0.0,8.8
18,Marc-Andre Fleury\fleurma01,30,PIT,G,1,0.06,0,0,0,0,1,0,1,1,0,34,20,9,2.32,.920,0.0,0.0,12.2,12.2
18,Braden Holtby\holtbbr01,25,WSH,G,1,0.06,0,0,0,0,1,0,2,2,0,41,20,10,2.22,.923,0.0,0.0,14.4,14.4
18,Zach Parise\parisza01,30,MIN,LW,1,0.06,0,0,0,0,1,33,29,62,21,,,,,,6.9,2.5,0.0,9.4
18,Shea Weber\webersh01,29,NSH,D,1,0.06,0,0,0,0,1,15,30,45,15,,,,,,4.2,5.4,0.0,9.6
1,Sidney Crosby\crosbsi01,26,PIT,C,1340,97.81,128,8,1,0,0,36,68,104,18,,,,,,10.7,2.8,0.0,13.5
2,Ryan Getzlaf\getzlry01,28,ANA,C,877,64.01,5,96,28,5,0,31,56,87,28,,,,,,8.8,2.4,0.0,11.2
3,Claude Giroux\giroucl01,26,PHI,C,435,31.75,2,15,42,27,19,28,58,86,7,,,,,,8.1,2.1,0.0,10.2
4,Semyon Varlamov\varlasi01,25,COL,G,256,18.69,1,8,23,22,9,0,3,3,,41,14,6,2.41,.927,0.0,0.0,15.5,15.5
5,Patrice Bergeron\bergepa01,28,BOS,C,137,10.00,0,4,9,17,13,30,32,62,38,,,,,,6.4,2.8,0.0,9.2
6,Tyler Seguin\seguity01,22,DAL,C,84,6.13,0,1,6,12,11,37,47,84,16,,,,,,9.3,2.2,0.0,11.6
7,Joe Pavelski\paveljo01,29,SJS,C,71,5.18,0,0,3,11,23,41,38,79,23,,,,,,8.8,2.8,0.0,11.5
8,Anze Kopitar\kopitan01,26,LAK,C,58,4.23,0,0,4,9,11,29,41,70,34,,,,,,6.4,3.7,0.0,10.0
9,Jonathan Toews\toewsjo01,25,CHI,C,53,3.87,0,2,4,4,7,28,40,68,26,,,,,,6.4,2.3,0.0,8.7
10,Ben Bishop\bishobe01,27,TBL,G,52,3.80,0,0,5,6,9,0,2,2,,37,14,7,2.23,.924,0.0,0.0,12.9,12.9
11,Tuukka Rask\rasktu01,26,BOS,G,35,2.55,0,1,2,5,3,0,2,2,,36,15,6,2.04,.930,0.0,0.0,13.1,13.1
12,Jamie Benn\bennja01,24,DAL,C,35,2.55,0,1,2,4,6,34,45,79,21,,,,,,8.4,2.5,0.0,10.9
13,Corey Perry\perryco01,28,ANA,RW,29,2.12,0,0,3,4,2,43,39,82,32,,,,,,9.7,2.5,0.0,12.3
14,Carey Price\priceca01,26,MTL,G,20,1.46,1,0,1,0,5,0,2,2,,34,20,5,2.32,.927,0.0,0.0,13.9,13.9
15,Duncan Keith\keithdu01,30,CHI,D,19,1.39,0,0,1,3,5,6,55,61,22,,,,,,5.1,4.9,0.0,10.0
16,Gustav Nyquist\nyquigu01,24,DET,RW,13,0.95,0,1,0,2,0,28,20,48,16,,,,,,6.0,1.7,0.0,7.7
17,Matt Duchene\duchema01,23,COL,C,11,0.80,0,0,1,1,3,23,47,70,8,,,,,,6.6,1.5,0.0,8.1
18,Alex Steen\steenal01,29,STL,LW,9,0.66,0,0,1,1,1,33,29,62,17,,,,,,6.7,2.3,0.0,9.1
18,John Tavares\tavarjo01,23,NYI,C,9,0.66,0,0,1,1,1,24,42,66,-6,,,,,,6.7,1.1,0.0,7.7
20,Patrick Sharp\sharppa01,32,CHI,LW,7,0.51,0,0,0,2,1,34,44,78,13,,,,,,8.2,1.8,0.0,10.0
21,Shea Weber\webersh01,28,NSH,D,4,0.29,0,0,0,1,1,23,33,56,-2,,,,,,6.2,4.5,0.0,10.8
22,Joe Thornton\thornjo01,34,SJS,C,3,0.22,0,0,0,0,3,11,65,76,20,,,,,,5.3,2.6,0.0,7.9
23,Jaromir Jagr\jagrja01,41,NJD,RW,1,0.07,0,0,0,0,1,24,43,67,16,,,,,,5.8,2.9,0.0,8.7
23,Patrick Marleau\marlepa01,34,SJS,LW,1,0.07,0,0,0,0,1,33,37,70,0,,,,,,6.7,1.8,0.0,8.6
23,Alex Ovechkin\ovechal01,28,WSH,LW,1,0.07,0,0,0,0,1,51,28,79,-35,,,,,,9.9,0.3,0.0,10.2
23,Ryan Suter\suterry01,29,MIN,D,1,0.07,0,0,0,0,1,8,35,43,15,,,,,,2.6,6.9,0.0,9.5
1,Alex Ovechkin\ovechal01,27,WSH,RW,1090,60.89,50,43,40,27,8,32,24,56,2,,,,,,7.0,1.0,0.0,8.0
2,Sidney Crosby\crosbsi01,25,PIT,C,1058,59.11,46,42,41,29,12,15,41,56,26,,,,,,5.8,1.7,0.0,7.5
3,John Tavares\tavarjo01,22,NYI,C,919,51.34,38,38,33,29,21,28,19,47,-2,,,,,,5.6,1.0,0.0,6.6
4,Jonathan Toews\toewsjo01,24,CHI,C,886,49.50,39,35,29,29,19,23,25,48,28,,,,,,5.6,2.0,0.0,7.6
5,Sergei Bobrovsky\bobrose01,24,CBJ,G,311,17.37,4,12,13,25,47,0,0,0,0,21,11,6,2.00,.932,0.0,0.0,9.2,9.2
6,Patrick Kane\kanepa01,24,CHI,RW,157,8.77,2,6,9,14,8,23,32,55,11,,,,,,6.3,1.3,0.0,7.6
7,Ryan Getzlaf\getzlry01,27,ANA,C,96,5.36,0,0,8,11,23,15,34,49,14,,,,,,4.6,1.5,0.0,6.1
8,Steven Stamkos\stamkst01,22,TBL,C,28,1.56,0,1,2,2,5,29,28,57,-4,,,,,,6.4,0.7,0.0,7.1
9,Martin St. Louis\stlouma01,37,TBL,RW,20,1.12,0,1,0,2,7,17,43,60,0,,,,,,5.4,0.8,0.0,6.3
10,Pavel Datsyuk\datsypa01,34,DET,C,18,1.01,0,0,1,2,7,15,34,49,21,,,,,,4.5,2.1,0.0,6.5
11,Antti Niemi\niemian02,29,SJS,G,11,0.61,0,0,0,1,8,0,1,1,0,24,12,6,2.16,.924,0.0,0.0,9.2,9.2
12,Craig Anderson\andercr01,31,OTT,G,10,0.56,0,1,0,1,0,0,0,0,0,12,9,2,1.69,.941,0.0,0.0,6.5,6.5
13,P.K. Subban\subbapk01,23,MTL,D,10,0.56,0,0,1,1,2,11,27,38,12,,,,,,4.3,2.9,0.0,7.1
14,Henrik Sedin\sedinhe01,32,VAN,C,5,0.28,0,0,1,0,0,11,34,45,19,,,,,,3.8,1.9,0.0,5.6
14,Evgeni Nabokov\nabokev01,37,NYI,G,5,0.28,0,0,1,0,0,0,4,4,0,23,11,7,2.50,.910,0.0,0.0,6.7,6.7
16,Chris Kunitz\kunitch01,33,PIT,LW,5,0.28,0,0,0,1,2,22,30,52,30,,,,,,5.8,2.0,0.0,7.8
17,Niklas Backstrom\backsni01,34,MIN,G,3,0.17,0,0,0,1,0,0,0,0,0,24,15,3,2.48,.909,0.0,0.0,6.2,6.2
17,Patrice Bergeron\bergepa01,27,BOS,C,3,0.17,0,0,0,1,0,10,22,32,24,,,,,,2.4,1.9,0.0,4.3
17,Ilya Kovalchuk\kovalil01,29,NJD,LW,3,0.17,0,0,0,1,0,11,20,31,-6,,,,,,2.3,1.0,0.0,3.3
17,Carey Price\priceca01,25,MTL,G,3,0.17,0,0,0,1,0,0,0,0,0,21,13,4,2.59,.905,0.0,0.0,5.4,5.4
17,Ryan Suter\suterry01,28,MIN,D,3,0.17,0,0,0,1,0,4,28,32,2,,,,,,2.4,3.6,0.0,6.0
22,Henrik Zetterberg\zettehe01,32,DET,LW,3,0.17,0,0,0,0,3,11,37,48,2,,,,,,3.9,1.2,0.0,5.2
23,Francois Beauchemin\beaucfr01,32,ANA,D,1,0.06,0,0,0,0,1,6,18,24,19,,,,,,2.0,3.8,0.0,5.8
23,Jeff Carter\carteje01,28,LAK,C,1,0.06,0,0,0,0,1,26,7,33,0,,,,,,4.2,1.0,0.0,5.2
23,Pascal Dupuis\dupuipa01,33,PIT,LW,1,0.06,0,0,0,0,1,20,18,38,31,,,,,,4.1,2.0,0.0,6.1
23,Henrik Lundqvist\lundqhe01,30,NYR,G,1,0.06,0,0,0,0,1,0,1,1,0,24,16,3,2.05,.926,0.0,0.0,9.3,9.3
23,Zach Parise\parisza01,28,MIN,C,1,0.06,0,0,0,0,1,18,20,38,2,,,,,,3.4,1.3,0.0,4.8
23,James Reimer\reimeja01,24,TOR,G,1,0.06,0,0,0,0,1,0,1,1,0,19,8,5,2.46,.924,0.0,0.0,7.5,7.5
23,Eric Staal\staaler01,28,CAR,C,1,0.06,0,0,0,0,1,18,35,53,5,,,,,,5.2,1.2,0.0,6.4
1,Evgeni Malkin\malkiev01,25,PIT,C,1473,98.86,144,4,1,0,0,50,59,109,18,,,,,,13.4,2.3,0.0,15.7
2,Steven Stamkos\stamkst01,21,TBL,C,598,40.13,1,54,24,24,18,60,37,97,7,,,,,,12.8,1.9,0.0,14.6
3,Henrik Lundqvist\lundqhe01,29,NYR,G,556,37.32,3,35,36,28,17,0,2,2,0,39,18,5,1.97,.930,0.0,0.0,14.1,14.1
4,Claude Giroux\giroucl01,24,PHI,RW,458,30.74,0,25,34,28,29,28,65,93,6,,,,,,8.9,1.6,0.0,10.6
5,Jonathan Quick\quickjo01,26,LAK,G,357,23.96,1,22,23,19,21,0,2,2,0,35,21,13,1.95,.929,0.0,0.0,14.7,14.7
6,Jason Spezza\spezzja01,28,OTT,C,134,8.99,0,2,14,11,17,34,50,84,11,,,,,,8.8,1.7,0.0,10.5
7,Pekka Rinne\rinnepe01,29,NSH,G,64,4.30,0,4,2,6,8,0,5,5,0,43,18,8,2.39,.923,0.0,0.0,15.5,15.5
8,Erik Karlsson\karlser01,21,OTT,D,52,3.49,0,0,4,7,11,19,59,78,16,,,,,,8.6,4.5,0.0,13.1
9,Henrik Sedin\sedinhe01,31,VAN,C,40,2.68,0,2,2,5,1,14,67,81,23,,,,,,6.1,2.6,0.0,8.7
10,Ilya Kovalchuk\kovalil01,28,NJD,LW,38,2.55,0,1,2,5,6,37,46,83,-9,,,,,,8.2,2.3,0.0,10.5
11,Mike Smith\smithmi01,29,PHX,G,16,1.07,0,0,0,4,4,0,2,2,0,38,18,10,2.21,.930,0.0,0.0,16.7,16.7
12,Zdeno Chara\charazd01,34,BOS,D,15,1.01,0,0,1,3,1,12,40,52,33,,,,,,5.1,5.9,0.0,10.9
13,Shea Weber\webersh01,26,NSH,D,12,0.81,0,0,1,2,1,19,30,49,21,,,,,,5.2,6.2,0.0,11.4
14,Pavel Datsyuk\datsypa01,33,DET,C,11,0.74,0,0,1,1,3,19,48,67,21,,,,,,5.7,2.2,0.0,7.9
15,Brian Elliott\elliobr01,26,STL,G,10,0.67,0,0,1,1,2,0,0,0,0,23,10,4,1.56,.940,0.0,0.0,9.0,9.0
16,Ray Whitney\whitnra01,39,PHX,LW,8,0.54,0,0,1,1,0,24,53,77,26,,,,,,6.9,2.8,0.0,9.7
16,Marian Gaborik\gaborma01,29,NYR,RW,8,0.54,0,0,1,0,3,41,35,76,15,,,,,,8.6,2.6,0.0,11.2
18,Patrice Bergeron\bergepa01,26,BOS,C,7,0.47,0,0,0,2,1,22,42,64,36,,,,,,5.7,2.7,0.0,8.3
19,David Backes\backeda01,27,STL,RW,6,0.40,0,0,1,0,1,24,30,54,15,,,,,,4.2,2.8,0.0,7.0
20,Brian Campbell\campbbr02,32,FLA,D,3,0.20,0,0,0,1,0,4,49,53,-9,,,,,,3.8,4.6,0.0,8.4
20,Radim Vrbata\vrbatra01,30,PHX,RW,3,0.20,0,0,0,1,0,35,27,62,24,,,,,,6.8,2.6,0.0,9.3
22,Jamie Benn\bennja01,22,DAL,LW,2,0.13,0,0,0,0,2,26,37,63,15,,,,,,6.2,2.0,0.0,8.2
22,James Neal\nealja01,24,PIT,LW,2,0.13,0,0,0,0,2,40,41,81,6,,,,,,9.3,1.7,0.0,11.0
24,Marian Hossa\hossama01,33,CHI,RW,1,0.07,0,0,0,0,1,29,48,77,18,,,,,,7.3,2.1,0.0,9.4
1,Corey Perry\perryco01,25,ANA,RW,1043,82.78,67,47,8,1,1,50,48,98,9,,,,,,10.8,2.5,0.0,13.3
2,Daniel Sedin\sedinda01,30,VAN,LW,960,76.19,51,56,9,4,1,41,63,104,30,,,,,,11.5,2.8,0.0,14.3
3,Martin St. Louis\stlouma01,35,TBL,RW,332,26.35,1,6,36,28,16,31,68,99,0,,,,,,9.3,2.0,0.0,11.3
4,Pekka Rinne\rinnepe01,28,NSH,G,175,13.89,1,2,17,17,15,0,0,0,0,33,22,9,2.12,.930,0.0,0.0,15.1,15.1
